"Timestamp"," Accel x"," Accel y"," Accel z"," Gyro x"," Gyro y"," Gyro z","Mag x","Mag y","Mag z","Light Intensity"
"-3","-0.96248066","2.9356613","10.766069","","","","","","",""
"-1","-0.8954762","3.0690258","11.073065","","","","","","",""
"0","","","","","","","","","","8.192045"
"1","-0.7901809","3.1166573","11.224201","","","","","","",""
"3","-0.6992449","3.1928663","11.375338","","","","","","",""
"6","-0.6513859","3.2643123","11.517028","","","","","","",""
"8","-0.55566347","3.2881289","11.668163","","","","","","",""
"11","-0.51259077","3.4024415","11.635101","","","","","","",""
"13","-0.46951815","3.421495","11.535916","","","","","","",""
"16","-0.42165917","3.4643636","11.474516","","","","","","",""
"18","-0.42645","3.48818","11.417839","","","","","","",""
"21","-0.32115486","3.5167596","11.342269","","","","","","",""
"23","-0.36423653","3.540576","11.172239","","","","","","",""
"26","-0.33552295","3.4929485","10.973871","","","","","","",""
"28","-0.34988654","3.5405796","10.695211","","","","","","",""
"31","-0.36903638","3.5262926","10.482674","","","","","","",""
"33","-0.3786136","3.5358202","10.222907","","","","","","",""
"35","-0.4408406","3.4786668","9.996201","","","","","","",""
"38","-0.48392224","3.4358017","9.741156","","","","","","",""
"40","-0.5222175","3.4834332","9.509726","","","","","","",""
"43","-0.5652991","3.469146","9.249958","","","","","","",""
"45","-0.63231254","3.3881776","9.075206","","","","","","",""
"48","-0.70889854","3.416757","8.801269","","","","","","",""
"50","-0.7663393","3.3834183","8.635962","","","","","","",""
"53","-0.7950618","3.416761","8.5037155","","","","","","",""
"55","-0.8668616","3.3834217","8.362024","","","","","","",""
"58","-0.90515673","3.3596091","8.234501","","","","","","",""
"60","-0.96738386","3.3643737","8.220331","","","","","","",""
"63","-0.98653364","3.3548496","8.092808","","","","","","",""
"65","-1.0439744","3.3977177","8.092807","","","","","","",""
"68","-1.0248336","3.4120085","8.045576","","","","","","",""
"70","-1.024838","3.340566","7.9558377","","","","","","",""
"71","","","","","","","","","",""
"73","-1.0487742","3.3691454","8.017235","","","","","","",""
"74","","","","","","","-6.069098","-35.389027","-30.394896",""
"75","-1.039206","3.383436","8.069188","","","","","","",""
"78","-1.0631423","3.3500972","8.097526","","","","","","",""
"80","-1.106224","3.3072326","8.234492","","","","","","",""
"83","-1.1445191","3.2310271","8.37146","","","","","","",""
"84","","","","","","","-6.3140526","-35.197258","-29.906467",""
"85","-1.1349509","3.197688","8.536765","","","","","","",""
"88","-1.225896","3.1500602","8.59344","","","","","","",""
