"Timestamp"," Accel x"," Accel y"," Accel z"," Gyro x"," Gyro y"," Gyro z","Mag x","Mag y","Mag z","Light Intensity"
"0","","","","","","","","","","5.620502"
"9095","0.19574732","3.5273042","9.672952","","","","","","",""
"9098","0.15745327","3.5273054","9.68712","","","","","","",""
"9100","0.109586656","3.5415955","9.611551","","","","","","",""
"9103","0.07129267","3.517782","9.569043","","","","","","",""
"9105","0.047357738","3.470154","9.526534","","","","","","",""
"9108","0.01863645","3.4463403","9.507642","","","","","","",""
"9110","-0.024443835","3.398712","9.465135","","","","","","",""
"9113","-0.06273784","3.4082391","9.399012","","","","","","",""
"9115","-0.038809314","3.3463218","9.332888","","","","","","",""
"9118","-0.09624864","3.2939308","9.262042","","","","","","",""
"9120","-0.13932896","3.2748804","9.285657","","","","","","",""
"9123","-0.16805021","3.2510667","9.328163","","","","","","",""
"9125","-0.17283979","3.241542","9.318716","","","","","","",""
"9128","-0.12497947","3.2272546","9.313993","","","","","","",""
"9130","-0.1537008","3.2653594","9.2148075","","","","","","",""
"9133","-0.20156743","3.23202","9.177023","","","","","","",""
"9135","-0.2302887","3.2367845","9.12507","","","","","","",""
"9138","-0.24943727","3.1939187","9.172298","","","","","","",""
"9140","-0.25422683","3.2415497","9.153406","","","","","","",""
"9143","-0.26858905","3.2606025","9.162852","","","","","","",""
"9145","-0.2877376","3.232026","9.247866","","","","","","",""
"9148","-0.30209988","3.189161","9.181743","","","","","","",""
"9150","-0.2638123","3.1986883","9.186465","","","","-15.767429","49.381","-30.94719",""
"9151","","","","","","","","","",""
"9153","-0.29731986","3.2225044","9.177018","","","","","","",""
"9155","-0.34518653","3.1605873","9.210079","","","","","","",""
"9158","-0.34040347","3.1891663","9.238416","","","","","","",""
"9160","-0.3308339","3.1748784","9.214801","","","","-15.45742","49.355125","-30.839478",""
"9163","-0.39305967","3.1748798","9.120339","","","","","","",""
"9165","-0.35955834","3.1129627","9.143953","","","","","","",""
"9168","-0.33562985","3.1272526","9.200629","","","","","","",""
"9170","-0.38349646","3.1653576","9.139229","","","","-15.114203","49.149826","-31.034323",""
"9173","-0.4170041","3.0986776","9.181736","","","","","","",""
"9175","-0.36914378","3.0558121","9.233689","","","","","","",""
"9177","-0.40743777","3.0558136","9.195905","","","","","","",""
"9180","-0.40744096","3.1034443","9.162842","","","","-15.738348","49.93521","-31.292036",""
"9182","-0.42658955","3.1082084","9.162841","-0.078806475","0.060693905","-0.042980958","","","",""
"9185","-0.46488345","3.0462914","9.243132","-0.07880648","0.060693864","-0.039785158","","","",""
"9187","-0.42659593","3.0272412","9.195902","-0.07667596","0.052171707","-0.04404621","","","",""
"9190","-0.42659914","3.0129528","9.29036","-0.07241491","0.043649558","-0.040850412","-15.989391","50.12108","-30.494385",""
"9191","","","","","","","","","",""
"9192","-0.45053405","3.0272436","9.332868","-0.068153866","0.037257932","-0.03658935","","","",""
"9195","-0.4361782","2.9367483","9.299807","-0.06389282","0.029801043","-0.03765461","","","",""
"9197","-0.44096774","3.0272462","9.295082","-0.060697038","0.028735735","-0.03339355","","","",""
"9200","-0.40268016","2.9796176","9.351758","-0.055370726","0.021278845","-0.025936695","-15.613241","49.524525","-29.593628",""
"9202","-0.39789698","2.9177005","9.403711","-0.05324021","0.018083012","-0.022740895","","","",""
"9205","-0.46490902","2.9986718","9.455663","-0.051109686","0.017017702","-0.019545099","","","",""
"9207","-0.44098046","2.9367547","9.4367695","-0.04791391","0.009560814","-0.01847983","","","",""
"9210","-0.42183828","2.955808","9.398986","-0.044718124","0.0063649784","-0.015284034","-15.501718","48.78619","-29.72158",""
"9212","-0.40748245","2.9653351","9.460384","-0.040457077","0.0010386158","-0.0120882355","","","",""
"9215","-0.4170583","3.0415437","9.46983","-0.041522346","-0.00535301","-0.012088229","","","",""
"9217","-0.37398434","2.9986782","9.40843","-0.03939183","-0.0021572632","-0.011022959","","","",""
"9220","-0.421851","2.9986794","9.44149","-0.035130784","-0.0010920444","-0.008892425","-15.508891","49.51688","-29.60926",""
"9222","-0.42185423","2.9843917","9.47455","-0.034065526","-0.0032226162","-0.007827155","","","",""
"9225","-0.40271205","2.998682","9.465105","-0.030869743","-0.0021573969","-0.007827149","","","",""
"9227","-0.40271527","3.0082092","9.52178","-0.028739223","-0.004287969","-0.003566088","","","",""
"9230","-0.41229105","2.9986844","9.559563","-0.026608704","-0.0074838037","-3.7029083E-4","-15.650579","50.437584","-29.333364",""
"9231","","","","","","","","","",""
"9232","-0.4027216","3.0225008","9.507609","-0.022347657","-0.001092267","-0.0025008104","","","",""
"9235","-0.39315206","2.9891615","9.455655","-0.01808661","-0.004288102","6.9498667E-4","","","",""
"9237","-0.42187333","3.0034513","9.455654","-0.01595609","-2.7092465E-5","0.0028255202","","","",""
"9240","-0.3979448","2.9939268","9.446208","-0.012760309","-2.7137168E-5","0.0038907903","-15.082356","49.495144","-30.135622",""
"9242","-0.35008448","2.9653504","9.441484","-0.009564525","0.0021033457","0.0060213236","","","",""
"9245","-0.39316487","2.9939291","9.4037","-0.005303479","0.002103301","0.0070865937","","","",""
"9247","-0.3405182","3.0272715","9.441483","-0.00636875","-0.0010925338","0.012412918","","","",""
"9250","-0.34530765","3.0987167","9.436759","-0.0031729664","-0.002157842","0.013478188","-15.052195","49.31277","-30.28357",""
"9252","-0.37402898","3.0701404","9.370636","2.2816646E-5","-0.0010926232","0.012412932","","","",""
"9255","-0.39796397","2.9986973","9.384805","2.280873E-5","-0.005353722","0.012412938","","","",""
"9257","-0.38360807","3.0320394","9.389527","0.0010880649","-0.004288503","0.013478208","","","",""
"9260","-0.3644659","3.093959","9.3328495","0.0010880574","0.0021030337","0.015608742","-15.139642","49.86284","-29.99434",""
"9262","-0.39797348","3.103486","9.304511","-0.002107741","0.0042335163","0.016674014","","","",""
"9265","-0.3788313","3.127302","9.280895","-0.003173012","0.0010376817","0.012412964","","","",""
"9267","-0.35968906","3.0891995","9.262003","-0.0042382833","-0.0053539444","0.010282444","","","",""
"9269","-0.40276945","3.1511195","9.257279","-0.009564608","-0.005353989","0.012412977","","","",""
"9270","","","","","","","-15.157629","50.05699","-30.464836",""
"9271","","","","","","","","","",""
"9272","-0.4027726","3.113017","9.233663","-0.014890934","-0.003223506","0.0156087745","","","",""
"9274","-0.35969865","3.1225443","9.243109","-0.015956204","-0.008549868","0.017739309","","","",""
"9277","-0.3549155","3.1797009","9.233662","-0.02128253","-0.011745703","0.019869843","","","",""
"9279","-0.34055966","3.1654134","9.247829","-0.026608855","-0.018137328","0.02306564","","","",""
"9280","","","","","","","-15.440517","49.897552","-30.565884",""
"9282","-0.3453491","3.1701777","9.186429","-0.029804653","-0.0202679","0.02093512","","","",""
"9284","-0.3214206","3.160653","9.2478285","-0.034065716","-0.023463735","0.020935128","","","",""
"9287","-0.30227843","3.2035208","9.2808895","-0.038326778","-0.025594307","0.01986987","","","",""
"9289","-0.29749522","3.193996","9.356457","-0.037261523","-0.029855404","0.015608821","","","",""
"9290","","","","","","","-15.730579","50.468796","-30.554613",""
"9292","-0.29749843","3.227338","9.375349","-0.03726153","-0.03305124","0.015608828","","","",""
"9294","-0.23049271","3.1701841","9.3706255","-0.039392065","-0.031986024","0.013478308","","","",""
"9297","-0.24485499","3.2368665","9.403686","-0.040457338","-0.03198607","0.011347787","","","",""
"9299","-0.26878992","3.2463937","9.384793","-0.038326815","-0.030920846","0.00708674","","","",""
"9300","","","","","","","-15.932106","49.75339","-30.635664",""
"9302","-0.24486136","3.217817","9.356454","-0.040457353","-0.022398783","0.0070867464","","","",""
"9304","-0.27358264","3.2178183","9.3942375","-0.03832683","-0.018137773","0.002825699","","","",""
"9307","-0.22572231","3.2082937","9.417851","-0.038326837","-0.018137818","0.001760442","","","",""
"9309","-0.27837542","3.2130585","9.413129","-0.040457375","-0.013876809","0.002825712","","","",""
"9310","","","","","","","-15.767429","49.381","-30.94719",""
"9311","","","","","","","","","",""
"9312","-0.2544468","3.2130594","9.422573","-0.042587906","-0.008550536","0.0017604551","","","",""
"9314","-0.29274073","3.165431","9.37062","-0.04365318","-0.009615844","6.951981E-4","","","",""
"9317","-0.24966682","3.213062","9.3847885","-0.04471845","-0.009615889","6.952055E-4","","","",""
"9319","-0.28317446","3.1749594","9.356449","-0.043653194","-0.00855067","0.0017604756","","","",""
"9320","","","","","","","-15.732262","49.9411","-31.601255",""
"9322","-0.28796396","3.1844869","9.394233","-0.0436532","-0.0074854507","0.0017604821","","","",""
"9324","-0.27839452","3.1511474","9.398955","-0.046848997","-0.0074854954","0.0017604886","","","",""
"9327","-0.25446594","3.1749632","9.380062","-0.04258795","-0.008550802","0.006021549","","","",""
"9329","-0.27361456","3.1844907","9.436738","-0.03939217","-0.006420321","0.008152083","","","",""
"9330","","","","","","","-16.051401","49.95814","-31.245138",""
"9332","-0.249686","3.1797287","9.446183","-0.039392177","-0.0064203655","0.009217353","","","",""
"9334","-0.23054375","3.1606781","9.3989525","-0.03513113","-0.0074856733","0.011347886","","","",""
"9337","-0.21140155","3.146391","9.417845","-0.02980482","-0.007485718","0.013478421","","","",""
"9339","-0.20183206","3.1797326","9.389505","-0.03087009","-0.008551026","0.0113479","","","",""
"9340","","","","","","","-15.841614","49.20627","-31.0795",""
"9342","-0.20662163","3.2226005","9.427289","-0.026609043","-0.007485807","0.011347907","","","",""
"9344","-0.19226572","3.2083127","9.432012","-0.025543788","-0.010681641","0.008152123","","","",""
"9347","-0.1970553","3.2130773","9.450903","-0.023413269","-0.01174695","0.0049563386","","","",""
"9349","-0.16355398","3.2226045","9.474518","-0.019152222","-0.013877521","0.008152136","","","",""
"9350","","","","","","","-15.421168","49.178646","-31.296644",""
"9351","","","","","","","","","",""
"9352","-0.15398455","3.2273686","9.455625","-0.01595644","-0.014942829","0.0028258248","","","",""
"9354","-0.18270576","3.2511847","9.469792","-0.009564866","-0.012812347","0.0017605678","","","",""
"9357","-0.2018544","3.2368972","9.43673","-0.004238556","-0.019203972","-0.0025004789","","","",""
"9359","-0.17313948","3.2178464","9.422561","-0.0021080363","-0.02026928","-0.0046309996","","","",""
"9360","","","","","","","-15.446606","49.891663","-30.256664",""
"9362","-0.15878358","3.194033","9.408391","0.0010877468","-0.020269325","-0.007826784","","","",""
"9364","-0.19229122","3.1749825","9.455621","0.0010877389","-0.02026937","-0.007826777","","","",""
"9366","-0.21143983","3.1845098","9.417837","0.002152995","-0.01920415","-0.006761507","","","",""
"9369","-0.18272494","3.1892738","9.413113","0.0021529875","-0.018138932","-0.012087818","","","",""
"9370","","","","","","","-15.759657","49.91459","-30.209766",""
"9371","-0.1731554","3.1464086","9.413112","-0.0010428105","-0.01600845","-0.011022548","","","",""
"9374","-0.2593129","3.1606987","9.493403","0.0010877086","-0.020269549","-0.012087805","","","",""
"9376","-0.22102523","3.170226","9.441449","-0.0010428259","-0.018139066","-0.009957271","","","",""
"9379","-0.19709674","3.1273603","9.4272785","-0.0010428333","-0.019204373","-0.009957264","","","",""
"9380","","","","","","","-15.901943","49.57102","-30.783611",""
"9381","-0.17795454","3.165465","9.432001","2.2422231E-5","-0.020269683","-0.011022521","","","",""
"9384","-0.27847105","3.2035704","9.436724","-0.0010428487","-0.017073935","-0.008891988","","","",""
"9386","-0.30719227","3.1654677","9.417831","2.240733E-5","-0.01707398","-0.011022508","","","",""
"9389","-0.34069994","3.1321285","9.408383","-0.001042864","-0.01600876","-0.011022502","","","",""
"9390","","","","","","","-15.664162","50.109936","-31.159721",""
"9391","-0.3167714","3.1702337","9.431999","0.0053487094","-0.014943542","-0.006761441","","","",""
"9394","-0.33591998","3.208338","9.4178295","0.007479229","-0.01600885","-0.007826698","","","",""
"9396","-0.3502822","3.2416801","9.431997","0.008544485","-0.017074158","-0.006761427","","","",""
"9399","-0.34549898","3.1940517","9.351706","0.011740268","-0.012813149","-0.0025003662","","","",""
"9400","","","","","","","-15.338936","50.09879","-31.825064",""
"9401","-0.3455022","3.213105","9.389489","0.013870788","-0.016008984","-3.6983262E-4","","","",""
"9404","-0.3550781","3.217869","9.332811","0.014936044","-0.018139554","0.001760701","","","",""
"9406","-0.38858575","3.2131076","9.365871","0.019197091","-0.016009072","0.002825971","","","",""
"9409","-0.31679374","3.2273977","9.290303","0.020262348","-0.019204909","0.0070870314","","","",""
"9410","","","","","","","-15.201376","49.911728","-32.14325",""
"9411","-0.32158324","3.1988213","9.276134","0.02026234","-0.019204952","0.007087038","","","",""
"9414","-0.3694499","3.2559779","9.295025","0.02239286","-0.019204997","0.008152308","","","",""
"9416","-0.35509408","3.3321865","9.280855","0.020262323","-0.021335568","0.008152314","","","",""
"9419","-0.3024474","3.2845578","9.238347","0.018131789","-0.021335613","0.0049565313","","","",""
"9420","","","","","","","-15.372144","50.27822","-31.522505",""
"9421","-0.32159597","3.2988482","9.2289","0.017066518","-0.024531448","0.0102828555","","","",""
"9424","-0.33595824","3.2607458","9.176946","0.014935982","-0.029857809","0.006021808","","","",""
"9426","-0.37425223","3.3083766","9.181669","0.0074791303","-0.031988386","0.0060218144","","","",""
"9429","-0.33117828","3.3131409","9.129715","0.0010875419","-0.036249485","0.008152348","","","",""
"9430","","","","","","","-15.384319","50.266438","-30.904066",""
"9431","-0.29289067","3.2512238","9.143883","2.2270891E-5","-0.03731479","0.007087091","","","",""
"9434","-0.31682557","3.2702768","9.148606","-0.0053040544","-0.04264115","0.0070870975","","","",""
"9436","-0.26896533","3.2845669","9.176943","-0.0148914335","-0.051163305","0.0060218405","","","",""
"9439","-0.25939584","3.3083832","9.195835","-0.023413548","-0.058620196","0.0049565844","","","",""
"9440","","","","","","","-15.9561825","49.941658","-30.79694",""
"9441","-0.23546724","3.2417028","9.210004","-0.028739873","-0.06075077","0.004956591","","","",""
"9444","-0.19239327","3.2369416","9.233618","-0.03300094","-0.061816078","0.0070871245","","","",""
"9446","-0.22111455","3.227417","9.295016","-0.03619674","-0.07033823","0.0017608136","","","",""
"9449","-0.24026318","3.1845515","9.389477","-0.039392535","-0.07566459","-3.697069E-4","","","",""
"9450","","","","","","","-16.063578","49.946358","-30.626696",""
"9451","-0.17804381","3.1893156","9.384753","-0.04471886","-0.08099095","-3.6970037E-4","","","",""
"9454","-0.14932896","3.2464724","9.450874","-0.04578413","-0.086317316","-0.004630748","","","",""
"9456","-0.14454576","3.2178955","9.469766","-0.04897993","-0.089513145","-0.007826532","","","",""
"9459","-0.12540358","3.2131343","9.516995","-0.046849407","-0.09270898","-0.011022315","","","",""
"9460","","","","","","","-15.707588","51.017105","-30.590239",""
"9461","-0.07754332","3.2655282","9.573671","-0.0415231","-0.09590482","-0.01741389","","","",""
"9464","-0.091905504","3.2274253","9.587839","-0.040457845","-0.0948396","-0.02487073","","","",""
"9466","-0.13019952","3.1940858","9.677577","-0.039392587","-0.09483965","-0.029131776","","","",""
"9468","-0.11584361","3.1845617","9.724806","-0.03513154","-0.0916439","-0.033392828","","","",""
"9470","","","","","","","-15.618183","51.20657","-31.230976",""
"9471","-0.1110605","3.1274073","9.71536","-0.030870492","-0.08738288","-0.039784398","","","",""
"9473","-0.12063634","3.1178825","9.743697","-0.027674709","-0.08099134","-0.044045445","","","",""
"9476","-0.1349986","3.103595","9.729527","-0.023413662","-0.07246928","-0.04724123","","","",""
"9478","-0.11585636","3.1321743","9.743696","-0.021283142","-0.0618167","-0.048306484","","","",""
"9480","","","","","","","-15.604921","50.481773","-31.652515",""
"9481","-0.15893668","3.0654938","9.724802","-0.021283152","-0.05755569","-0.05150227","","","",""
"9483","-0.19244431","3.1035988","9.67285","-0.019152632","-0.05649047","-0.054698057","","","",""
"9486","-0.1637294","3.0464447","9.630341","-0.01915264","-0.04690314","-0.05576331","","","",""
"9488","-0.19723709","3.013105","9.701186","-0.01702212","-0.040511608","-0.05150225","","","",""
"9490","","","","","","","-15.603836","49.745193","-31.455612",""
"9491","-0.18288119","3.0654988","9.639787","-0.015956864","-0.035185333","-0.050436985","","","",""
"9493","-0.22117516","3.0226336","9.644508","-0.013826345","-0.034120113","-0.05150224","","","",""
"9496","-0.2738282","3.032161","9.583108","-0.012761089","-0.028793838","-0.05150223","","","",""
"9498","-0.2451133","3.0035846","9.601998","-0.008500042","-0.02772862","-0.04617591","","","",""
"9500","","","","","","","-15.585846","49.551037","-30.98512",""
"9501","-0.3025527","3.0274007","9.606722","-0.0053042592","-0.024532873","-0.04404537","","","",""
"9503","-0.31212854","2.9654834","9.51226","-0.0053042667","-0.023467654","-0.03978431","","","",""
"9506","-0.29777265","2.9892995","9.450861","-0.0021084838","-0.024532963","-0.03552325","","","",""
"9508","-0.3360667","3.0035896","9.488645","-0.0010432277","-0.02559827","-0.035523243","","","",""
"9510","","","","","","","-15.645088","49.1792","-30.492327",""
"9511","-0.34085625","3.0321684","9.431968","0.003217819","-0.026663577","-0.032327447","","","",""
"9513","-0.34564573","3.0035923","9.3800125","0.0074788653","-0.030924676","-0.028066386","","","",""
