"Timestamp"," Accel x"," Accel y"," Accel z"," Gyro x"," Gyro y"," Gyro z","Mag x","Mag y","Mag z","Light Intensity"
"-558","","","","","","","","","","3.062784"
"0","-0.29560608","3.6180575","8.418279","","","","","","",""
"2","-0.2812438","3.7561822","8.673324","","","","","","",""
"4","-0.20944548","3.7942846","8.753615","","","","","","",""
"7","-0.18551056","3.7514164","8.876415","","","","","","",""
"9","-0.20465282","3.765704","8.890585","","","","","","",""
"12","-0.24294037","3.84191","9.155075","","","","","","",""
"14","-0.21421915","3.8943012","9.480966","","","","","","",""
"17","-0.15677974","3.918115","9.490412","","","","","","",""
"19","-0.14720386","3.965743","9.655719","","","","","","",""
"22","-0.18549138","4.0038457","10.019392","","","","","","",""
"24","-0.15198374","3.965741","10.146915","","","","","","",""
"27","-0.1806986","3.8419023","10.170531","","","","","","",""
"29","-0.1806955","3.770457","10.099686","","","","","","",""
"32","-0.21898305","3.6799598","10.028841","","","","","","",""
"34","-0.3099205","3.6370914","9.986335","","","","","","",""
"37","-0.33384907","3.5751722","9.94855","","","","","","",""
"39","-0.31470045","3.441808","9.872983","","","","","","",""
"42","-0.35777438","3.432281","9.811584","","","","","","",""
"44","-0.38170296","3.3465464","9.887154","","","","","","",""
"47","-0.357768","3.3655972","9.882431","","","","","","",""
"49","-0.305115","3.3179662","9.915493","","","","","","",""
"52","-0.28118008","3.3036761","9.981617","","","","","","",""
"54","-0.24767247","3.294149","9.953279","","","","","","",""
"57","-0.23809661","3.260807","9.9532795","","","","","","",""
"59","-0.19980264","3.2608058","9.967449","","","","","","",""
"62","-0.14714956","3.2655675","9.868266","","","","","","",""
"64","-0.12800103","3.298907","9.81159","","","","","","",""
"67","-0.11363875","3.356061","9.759638","","","","","","",""
"69","-0.13278094","3.3322449","9.603779","","","","","","",""
"72","-0.16149594","3.3655844","9.556549","","","","","","",""
"74","-0.14713366","3.36082","9.466812","","","","","","",""
"77","-0.14234409","3.3989224","9.419582","","","","","","",""
"79","-0.15191364","3.417973","9.296783","","","","","","",""
"80","","","","","","","-23.358603","-12.485792","-38.154957",""
"82","-0.13276505","3.4036832","9.164539","","","","","","",""
"84","-0.099257395","3.4179707","9.112587","","","","","","",""
"87","-0.099254236","3.422732","8.985065","","","","","","",""
"89","-0.046601206","3.4751232","8.980343","","","","","","",""
"90","","","","","","","-23.44192","-12.66936","-37.82344",""
"92","-0.022666276","3.522752","8.94256","","","","","","",""
"94","-0.027449474","3.5513282","8.9095","","","","","","",""
"96","-0.022659913","3.5656157","8.848101","","","","","","",""
"99","-0.04658851","3.527511","8.928393","","","","","","",""
"100","","","","","","","-23.776003","-12.455221","-38.092426",""
"101","-0.08487606","3.5656133","8.866995","","","","","","",""
"104","-0.11837729","3.6275303","8.862271","-0.046311956","-0.2123783","-0.017735722","","","",""
"106","-0.108801454","3.622766","8.904779","-0.07294353","-0.19426876","-0.025192576","","","",""
"109","-0.104011886","3.5656095","8.8811655","-0.09957511","-0.18468136","-0.031584162","","","",""
"110","","","","","","","-23.875353","-11.705106","-38.582916",""
"111","-0.15187214","3.6894445","8.980349","-0.12727197","-0.17509393","-0.040106278","","","",""
"114","-0.12315096","3.7465994","9.008688","-0.15496881","-0.17083283","-0.04969366","","","",""
"116","-0.16622488","3.756124","9.032305","-0.17946987","-0.17083278","-0.059281036","","","",""
"117","","","","","","","","","",""
"119","-0.12793088","3.8037517","9.088982","-0.19970986","-0.16657169","-0.06673788","","","",""
"120","","","","","","","-24.341187","-11.509836","-37.444775",""
"121","-0.09442328","3.8132768","9.11732","-0.21675408","-0.15485375","-0.07952106","","","",""
"124","-0.1662153","3.8180382","9.07009","-0.23699407","-0.1463316","-0.09336949","","","",""
"126","-0.23322093","3.7989852","9.098429","-0.25190774","-0.14633155","-0.10189161","","","",""
"129","-0.20928608","3.7942214","9.145659","-0.2646909","-0.15059257","-0.11360951","","","",""
"130","","","","","","","-24.187597","-12.63059","-36.94096",""
"131","-0.18056475","3.7465904","9.074816","-0.27747405","-0.1452662","-0.12745795","","","",""
"134","-0.199707","3.6608555","8.999248","-0.28599617","-0.14739668","-0.13598005","","","",""
"136","-0.23320825","3.5894105","8.961464","-0.29664877","-0.15165769","-0.14450218","","","",""
"139","-0.21405968","3.5227277","8.970911","-0.3019751","-0.1559187","-0.15089376","","","",""
"140","","","","","","","-23.852148","-13.369478","-37.873226",""
"141","-0.2523473","3.4941487","8.833943","-0.3104972","-0.16870181","-0.15515481","","","",""
"144","-0.25234407","3.398888","8.720592","-0.32008454","-0.18787651","-0.1562201","","","",""
"146","-0.2284091","3.3417318","8.843391","-0.32860664","-0.20279016","-0.1562201","","","",""
"149","-0.19011518","3.3036265","8.848114","-0.33925927","-0.21131222","-0.15408958","","","",""
"150","","","","","","","-23.981663","-12.436989","-38.215767",""
"151","-0.14703482","3.2417068","8.692256","-0.34245506","-0.22729114","-0.14450221","","","",""
"154","-0.08002275","3.236943","8.739487","-0.34458557","-0.24220477","-0.1423717","","","",""
"156","-0.08480598","3.194075","8.800886","-0.3488466","-0.25711843","-0.13384959","","","",""
"157","","","","","","","","","",""
"159","-0.027366593","3.170259","8.748934","-0.3488466","-0.27096683","-0.12639275","","","",""
"160","","","","","","","-24.54548","-12.016352","-38.769375",""
"161","0.0013547093","3.1512058","8.829225","-0.3488466","-0.28055412","-0.11574012","","","",""
"164","0.010930583","3.2035968","8.857565","-0.34671608","-0.28694567","-0.10615276","","","",""
"166","-0.0034252703","3.2226477","8.800889","-0.34991187","-0.2901414","-0.09976118","","","",""
