Timestamp, Accel x, Accel y, Accel z, Gyro x, Gyro y, Gyro z,Mag x,Mag y,Mag z,Light Intensity
0,-0.961428,6.525601,6.641765,,,,,,,
-4,,,,,,,,,,138.920715
2,-1.186387,6.554179,6.811794,,,,,,,
2,,,,-0.415619,0.551761,-0.236105,,,,
4,-1.310832,6.482735,6.830686,,,,,,,
7,-1.425706,6.354135,6.92987,,,,,,,
9,-1.535792,6.287455,7.066838,,,,,,,
9,,,,-0.390052,0.404755,-0.173255,,,,
12,-1.679383,6.258877,7.104621,,,,,,,
12,,,,-0.3794,0.396233,-0.161537,,,,
14,-1.803829,6.220774,7.104621,,,,,,,
14,,,,-0.363421,0.349361,-0.150884,,,,
17,-1.904343,6.220774,7.175467,,,,,,,
17,,,,-0.348507,0.298229,-0.132775,,,,
19,-1.923489,6.192196,7.251035,,,,,,,
19,,,,-0.333594,0.252422,-0.104013,,,,
21,,,,,,,30.934692,-70.845268,-52.400429,
22,-1.952208,6.158856,7.369111,,,,,,,
22,,,,-0.312288,0.209812,-0.081642,,,,
24,-1.956995,6.244589,7.392726,,,,,,,
24,,,,-0.292048,0.173593,-0.059271,,,,
27,-1.899559,6.258879,7.524971,,,,,,,
27,,,,-0.273939,0.139504,-0.03477,,,,
29,,,,-0.249438,0.113938,-0.017726,,,,
29,-1.875628,6.330323,7.643046,,,,,,,
31,,,,,,,31.207359,-69.958076,-52.032448,
32,-1.870842,6.363664,7.756399,,,,,,,
32,,,,-0.227067,0.099024,0.001449,,,,
34,-1.789475,6.382716,7.898089,,,,,,,
34,,,,-0.203631,0.087306,0.018493,,,,
37,-1.770331,6.520842,7.935874,,,,,,,
37,,,,-0.177,0.07985,0.031276,,,,
39,-1.688963,6.592286,7.954766,,,,,,,
39,,,,-0.151433,0.076654,0.047255,,,,
41,,,,,,,31.259708,-68.643723,-53.811081,
42,,,,-0.126932,0.075588,0.057908,,,,
42,-1.578878,6.63039,7.954766,,,,,,,
44,-1.593238,6.611339,7.865028,,,,,,,
44,,,,-0.101366,0.076654,0.06856,,,,
47,-1.497511,6.711361,7.784736,,,,,,,
47,,,,-0.070473,0.08198,0.079213,,,,
49,-1.406572,6.758991,7.770567,,,,,,,
49,,,,-0.045972,0.086241,0.0888,,,,
51,,,,,,,31.033016,-68.43428,-54.250313,
52,-1.363495,6.816147,7.737506,,,,,,,
52,,,,-0.025732,0.087306,0.097322,,,,
54,,,,-0.010819,0.095828,0.104779,,,,
54,-1.310846,6.82091,7.66666,,,,,,,
57,,,,0.008356,0.10222,0.111171,,,,
57,-1.205547,6.978087,7.586368,,,,,,,
59,-1.200761,6.978087,7.4494,,,,,,,
59,,,,0.019009,0.109677,0.115432,,,,
61,,,,,,,31.454552,-69.198479,-54.270554,
62,-1.12418,7.011429,7.425785,,,,,,,
62,,,,0.024335,0.115003,0.118628,,,,
64,-1.03324,7.011429,7.421062,,,,,,,
64,,,,0.031792,0.120329,0.117562,,,,
67,,,,0.036053,0.128852,0.116497,,,,
67,-0.971018,7.040007,7.378554,,,,,,,
69,-0.90401,7.087636,7.24631,,,,,,,
69,,,,0.039249,0.140569,0.112236,,,,
71,,,,,,,31.399712,-70.092117,-55.133621,
72,-0.86572,7.135267,7.222694,,,,,,,
72,,,,0.041379,0.144831,0.104779,,,,
74,,,,0.039249,0.152287,0.095192,,,,
74,-0.841789,7.101926,7.118787,,,,,,,
77,-0.827431,7.082874,7.047942,,,,,,,
77,,,,0.036053,0.159744,0.0888,,,,
79,-0.822645,7.125742,6.944035,,,,,,,
79,,,,0.033922,0.171462,0.074952,,,,
