"Timestamp"," Accel x"," Accel y"," Accel z"," Gyro x"," Gyro y"," Gyro z","Mag x","Mag y","Mag z","Light Intensity"
"0","","","","","","","","","","6.9504023"
"23","0.5685189","6.1614413","10.815809","","","","","","",""
"26","0.80305004","6.218597","11.373126","","","","","","",""
"28","0.9609995","6.17573","11.661231","","","","","","",""
"31","1.0710853","6.0947604","11.845429","","","","","","",""
"33","1.1189489","5.980449","11.703738","","","","","","",""
"36","1.162026","5.856612","11.495925","","","","","","",""
"38","1.1572397","5.7661166","11.2125435","","","","","","",""
"41","1.0806581","5.6327534","10.886654","","","","","","",""
"43","0.941854","5.556546","10.513535","","","","","","",""
"46","0.79826355","5.4660506","10.107353","","","","","","",""
"48","0.64988685","5.399369","9.738957","","","","","","",""
"51","0.48236462","5.4279466","9.450853","","","","","","",""
"53","0.3339878","5.3279247","9.191086","","","","","","",""
"56","0.17125198","5.299347","9.011611","","","","","","",""
"58","0.032447904","5.3612657","8.784905","","","","","","",""
"61","-0.06806542","5.404132","8.638492","","","","","","",""
"63","-0.17336506","5.370791","8.487354","","","","","","",""
"66","-0.25951934","5.299347","8.430678","","","","","","",""
"68","-0.32652822","5.280295","8.392894","","","","","","",""
"71","-0.45097327","5.237428","8.284264","","","","","","",""
"73","-0.49883676","5.2279024","8.241757","","","","","","",""
"74","","","","","","","","","",""
"76","-0.49405038","5.17551","8.237034","","","","","","",""
"77","","","","","","","-7.367234","-37.460014","-42.095177",""
"78","-0.5227685","5.1231174","8.350386","","","","","","",""
"81","-0.54670024","5.165984","8.369278","","","","","","",""
"83","-0.5131958","5.118355","8.4070635","","","","","","",""
"86","-0.47011864","5.0659623","8.369278","","","","","","",""
"87","","","","","","","-7.441421","-37.634747","-42.22749",""
"88","-0.48926404","5.070725","8.378725","","","","","","",""
"91","-0.43182784","5.085014","8.4070635","","","","","","",""
"93","-0.37439167","5.0659623","8.378725","","","","","","",""
"96","-0.37439167","5.089777","8.397616","","","","","","",""
"97","","","","","","","-8.198995","-37.395927","-42.124725",""
"98","-0.34088728","5.0945396","8.463739","","","","","","",""
"101","-0.30259645","5.1278806","8.440124","","","","","","",""
"103","-0.27866477","5.1707473","8.392894","0.025582211","-0.24291568","0.104021125","","","",""
"106","-0.18772411","5.25648","8.336217","0.009603257","-0.23865461","0.11147796","","","",""
"107","","","","","","","-8.50732","-36.84236","-41.18579",""
"108","-0.12550159","5.3279247","8.293711","-0.0063756956","-0.23439357","0.114673756","","","",""
"111","-0.06806542","5.3469763","8.369278","-0.022354648","-0.22800198","0.11573902","","","",""
"113","-0.053706363","5.3517394","8.345664","-0.039398868","-0.21415356","0.11573902","","","",""
"114","","","","","","","","","",""
"115","-0.015415594","5.4327097","8.336217","-0.06283466","-0.19604407","0.114673756","","","",""
"117","","","","","","","-8.3697605","-37.02943","-41.50398",""
"118","0.008516178","5.480339","8.270095","-0.08733572","-0.17686933","0.11254323","","","",""
"120","0.027661562","5.4422355","8.166188","-0.1171631","-0.16195564","0.105086386","","","",""
"123","-0.010629237","5.380317","8.123681","-0.14592522","-0.14704195","0.102955855","","","",""
"125","0.0037298203","5.413658","8.043389","-0.1757526","-0.12893248","0.10082533","","","",""
"127","","","","","","","-8.443948","-37.20416","-41.63629",""
"128","0.018088847","5.3279247","8.015051","-0.2077105","-0.1161493","0.09549902","","","",""
"130","-0.03456098","5.3183985","7.9725437","-0.23966841","-0.104431406","0.09443375","","","",""
"133","-0.001056537","5.237428","7.9489293","-0.27482212","-0.08951771","0.092303224","","","",""
"135","0.04202059","5.189799","8.024498","-0.30571476","-0.07779982","0.08910743","","","",""
"137","","","","","","","-8.55743","-37.205357","-41.15683",""
"138","0.04202059","5.1707473","8.029221","-0.33234635","-0.06927771","0.08697691","","","",""
"140","0.08031136","5.118355","8.09062","-0.3621737","-0.05862508","0.08804217","","","",""
"143","0.075525016","5.0516734","8.208695","-0.3888053","-0.04371139","0.09017269","","","",""
"145","0.094670445","5.0230956","8.331494","-0.4122411","-0.027732436","0.091237955","","","",""
"146","","","","","","","","","","162.73262"
"147","","","","","","","-8.229158","-37.213554","-41.976776",""
"148","0.113815814","4.9468884","8.336217","-0.43141586","-0.017079799","0.08804217","","","",""
"150","0.10902947","4.9230733","8.392894","-0.444199","-0.006427164","0.091237955","","","",""
"153","0.13774759","4.846866","8.534585","-0.45272112","0.004225471","0.09549902","","","",""
"154","","","","","","","","","",""
"155","0.14732024","4.789711","8.548754","-0.45485163","0.010617053","0.09443375","","","",""
"157","","","","","","","-7.9462724","-37.054108","-41.87573",""
"158","0.13296121","4.8278146","8.567646","-0.45485163","0.020204425","0.09443375","","","",""
"160","0.12817487","4.7611327","8.704614","-0.45059058","0.029791797","0.09443375","","","",""
"163","0.12817487","4.7135034","8.718783","-0.43993795","0.039379165","0.092303224","","","",""
"165","0.113815814","4.684926","8.685721","-0.42715478","0.04470548","0.092303224","","","",""
